"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045178","GO:0045178","basal part of cell","16/301","301/19886",1.53689345330194e-05,0.00416541425921071,0.00381792356017881,"6536/6533/9497/360/5010/10008/8613/114/287/6563/8140/150/368/134/123264/23705",16
"GO:0016323","GO:0016323","basolateral plasma membrane","14/301","249/19886",2.83361514232021e-05,0.00416541425921071,0.00381792356017881,"6536/6533/9497/360/8613/114/287/6563/8140/150/368/134/123264/23705",14
"GO:0045211","GO:0045211","postsynaptic membrane","14/301","275/19886",8.31043930338364e-05,0.00757048095750941,0.00693892991450916,"115207/6536/6533/26045/23767/2048/287/64101/23017/150/2900/9890/134/1008",14
"GO:0009925","GO:0009925","basal plasma membrane","14/301","282/19886",0.000108446819106514,0.00757048095750941,0.00693892991450916,"6536/6533/9497/360/8613/114/287/6563/8140/150/368/134/123264/23705",14
"GO:0098984","GO:0098984","neuron to neuron synapse","16/301","362/19886",0.000138237838718642,0.00757048095750941,0.00693892991450916,"6536/26045/23767/2048/114/23043/815/1821/64101/150/2900/64506/9890/134/23705/6457",16
"GO:0032279","GO:0032279","asymmetric synapse","15/301","331/19886",0.000169958329138216,0.00757048095750941,0.00693892991450916,"6536/26045/23767/114/23043/815/1821/64101/150/2900/64506/9890/134/23705/6457",15
"GO:0043025","GO:0043025","neuronal cell body","19/301","489/19886",0.000180249546607367,0.00757048095750941,0.00693892991450916,"6533/4856/6324/7042/5027/10381/10008/2048/114/84152/57125/57731/1821/150/8507/134/2044/40/85442",19
"GO:0099572","GO:0099572","postsynaptic specialization","15/301","346/19886",0.00027378138462962,0.0100614658851385,0.00922210979805035,"6536/26045/23767/114/23043/815/1821/64101/150/2900/64506/9890/23705/6457/1008",15
"GO:0014069","GO:0014069","postsynaptic density","14/301","315/19886",0.000339233262947228,0.0102269979221566,0.00937383268196234,"6536/26045/23767/114/23043/815/1821/64101/150/2900/64506/9890/23705/6457",14
"GO:0097060","GO:0097060","synaptic membrane","16/301","393/19886",0.000347857072182196,0.0102269979221566,0.00937383268196234,"115207/1759/6536/6533/26045/23767/2048/114/287/64101/23017/150/2900/9890/134/1008",16
"GO:0098686","GO:0098686","hippocampal mossy fiber to CA3 synapse","5/301","42/19886",0.000413187090831375,0.0110433640640386,0.0101220952395054,"6536/26045/2048/114/2900",5
"GO:0042734","GO:0042734","presynaptic membrane","9/301","165/19886",0.000945073842696685,0.0231543091460688,0.0212227108535396,"115207/1759/6536/2048/114/150/2900/134/1008",9
"GO:0098978","GO:0098978","glutamatergic synapse","15/301","407/19886",0.0014423190478518,0.0326186000052637,0.0298974636639724,"1759/26045/23767/10371/2048/114/23043/1821/83992/64101/150/9890/6457/1004/1008",15
